location,node-id,date,lat,lon,placement,microphone-cover,nsin-release
eglin,80,3/16/2023,30.619685,-86.28324333,"3M, West Side",,2-Developer Data Set
eglin,81,3/16/2023,30.61968833,-86.28324083,"3M, West Side",,2-Developer Data Set
cochise,81,4/10/2023,31.61712541,-110.2425563,1M,,2-Developer Data Set
cochise,121,4/10/2023,31.61907277,-110.2403328,1M,,2-Developer Data Set
cochise,81,4/11/2023,31.61707666,-110.2425833,1M,,2-Developer Data Set
cochise,121,4/11/2023,31.61902833,-110.240355,1M,,2-Developer Data Set
bprf,123,4/10/2023,38.409148,-77.1046607,7 M South,Bare,2-Developer Data Set
bprf,124,4/10/2023,38.4093801,-77.1043166,5 M South,Bare,1-Solicitation Data Set
bprf,129,4/10/2023,38.4092505,-77.103988,5 M South,Windscreen,2-Developer Data Set
bprf,131,4/10/2023,38.4094207,-77.1035673,3 M South,Bare,2-Developer Data Set
bprf,123,4/11/2023,38.409148,-77.1046607,7 M South,Bare,2-Developer Data Set
bprf,129,4/11/2023,38.4092505,-77.103988,5 M South,Windscreen,2-Developer Data Set
bprf,131,4/11/2023,38.4094207,-77.1035673,3 M South,Bare,2-Developer Data Set
bprf,123,4/12/2023,38.4109388,-77.1040021,7 M North,Bare,2-Developer Data Set
bprf,129,4/12/2023,38.4108653,-77.1045177,5 M North,Windscreen,2-Developer Data Set
bprf,131,4/12/2023,38.4110023,-77.1043451,5 M North,Bare,2-Developer Data Set
