time,latitude,lat_dir,longitude,long_dir,speed,course,date
15:18:00.400000,38.41028166666667,N,-77.09973,W,0.94,127.68,2023-04-11
15:18:00.600000,38.41027833333333,N,-77.09972833333333,W,1.02,126.34,2023-04-11
15:18:00.800000,38.410275,N,-77.09972833333333,W,1.05,125.75,2023-04-11
15:18:01.800000,38.410273333333336,N,-77.09973,W,0.7,127.91,2023-04-11
15:18:02,38.410275,N,-77.09973,W,0.64,125.21,2023-04-11
15:18:02.200000,38.410275,N,-77.09973333333335,W,0.6,127.05,2023-04-11
15:18:02.400000,38.41027666666666,N,-77.09973666666667,W,0.61,128.47,2023-04-11
15:18:02.600000,38.41027666666666,N,-77.09973833333333,W,0.61,128.1,2023-04-11
15:18:02.800000,38.41027833333333,N,-77.09974,W,0.62,128.23,2023-04-11
15:18:03,38.41027833333333,N,-77.09974166666666,W,0.6,127.49,2023-04-11
15:18:03.200000,38.41027999999999,N,-77.09974333333332,W,0.54,123.7,2023-04-11
15:18:03.400000,38.41027999999999,N,-77.09974166666666,W,0.51,119.99,2023-04-11
15:18:03.600000,38.41028166666667,N,-77.09974166666666,W,0.43,117.53,2023-04-11
15:18:03.800000,38.41028166666667,N,-77.09974333333332,W,0.37,112.0,2023-04-11
15:18:04,38.41028166666667,N,-77.09974166666666,W,0.38,113.46,2023-04-11
15:18:04.200000,38.41028166666667,N,-77.09974166666666,W,0.43,115.27,2023-04-11
15:18:04.400000,38.41027999999999,N,-77.09974166666666,W,0.46,121.68,2023-04-11
15:18:04.600000,38.41027999999999,N,-77.09974333333332,W,0.47,122.75,2023-04-11
15:18:04.800000,38.41027999999999,N,-77.09974333333332,W,0.43,122.9,2023-04-11
15:18:05,38.41027833333333,N,-77.09974500000001,W,0.44,123.88,2023-04-11
15:18:05.200000,38.41027833333333,N,-77.09974500000001,W,0.46,122.85,2023-04-11
15:18:05.400000,38.41027833333333,N,-77.09974500000001,W,0.45,122.57,2023-04-11
15:18:05.600000,38.41027833333333,N,-77.09974666666668,W,0.44,127.7,2023-04-11
15:18:05.800000,38.41027833333333,N,-77.09974666666668,W,0.47,131.48,2023-04-11
15:18:06,38.41027833333333,N,-77.09974833333334,W,0.46,133.82,2023-04-11
15:18:06.200000,38.41027833333333,N,-77.09974833333334,W,0.45,136.29,2023-04-11
15:18:06.400000,38.41027833333333,N,-77.09975,W,0.42,139.86,2023-04-11
15:18:06.600000,38.41027833333333,N,-77.09975333333334,W,0.38,146.2,2023-04-11
15:18:06.800000,38.41027833333333,N,-77.099755,W,0.37,153.5,2023-04-11
15:18:07,38.41027833333333,N,-77.09975666666666,W,0.36,154.06,2023-04-11
15:18:07.200000,38.41027833333333,N,-77.09975833333333,W,0.34,149.91,2023-04-11
15:18:07.400000,38.41027833333333,N,-77.09975833333333,W,0.31,142.61,2023-04-11
15:18:07.600000,38.41027833333333,N,-77.09975833333333,W,0.28,132.33,2023-04-11
15:18:07.800000,38.41027999999999,N,-77.09975999999999,W,0.24,126.66,2023-04-11
15:18:08,38.41027999999999,N,-77.09975999999999,W,0.23,122.62,2023-04-11
15:18:08.200000,38.41027999999999,N,-77.09976166666668,W,0.21,125.46,2023-04-11
15:18:08.400000,38.41027999999999,N,-77.09976333333334,W,0.18,134.86,2023-04-11
15:18:08.600000,38.41027999999999,N,-77.09976666666667,W,0.15,144.26,2023-04-11
15:18:08.800000,38.41027999999999,N,-77.09976833333333,W,0.12,138.64,2023-04-11
15:18:09,38.41027999999999,N,-77.09977000000002,W,0.1,127.49,2023-04-11
15:18:09.200000,38.41027999999999,N,-77.09977166666665,W,0.08,116.37,2023-04-11
15:18:09.400000,38.41027999999999,N,-77.09977333333335,W,0.09,63.56,2023-04-11
15:18:09.600000,38.41027999999999,N,-77.09977500000001,W,0.08,50.09,2023-04-11
15:18:09.800000,38.41027999999999,N,-77.09977833333333,W,0.05,31.71,2023-04-11
15:18:10,38.41027999999999,N,-77.09978,W,0.04,3.35,2023-04-11
15:18:10.200000,38.41027833333333,N,-77.09978333333333,W,0.05,350.14,2023-04-11
15:18:10.400000,38.41027833333333,N,-77.099785,W,0.04,347.69,2023-04-11
15:18:10.600000,38.41027833333333,N,-77.099785,W,0.04,359.56,2023-04-11
15:18:10.800000,38.41027833333333,N,-77.09978666666666,W,0.06,1.77,2023-04-11
15:18:11,38.41027833333333,N,-77.09978833333332,W,0.07,9.66,2023-04-11
15:18:11.200000,38.41027666666666,N,-77.09978833333332,W,0.03,20.25,2023-04-11
15:18:11.400000,38.41027666666666,N,-77.09978999999998,W,0.01,110.32,2023-04-11
15:18:11.600000,38.41027666666666,N,-77.09979166666668,W,0.02,338.21,2023-04-11
15:18:11.800000,38.41027666666666,N,-77.09979333333334,W,0.05,328.53,2023-04-11
15:18:12,38.41027666666666,N,-77.09979333333334,W,0.08,331.31,2023-04-11
15:18:12.200000,38.41027666666666,N,-77.099795,W,0.11,323.17,2023-04-11
15:18:12.400000,38.41027833333333,N,-77.09979833333333,W,0.15,335.03,2023-04-11
15:18:12.600000,38.41027833333333,N,-77.09979833333333,W,0.14,348.34,2023-04-11
15:18:12.800000,38.41027666666666,N,-77.09979833333333,W,0.11,356.38,2023-04-11
15:18:13,38.41027666666666,N,-77.09979833333333,W,0.09,5.43,2023-04-11
15:18:13.200000,38.410275,N,-77.09979833333333,W,0.05,16.91,2023-04-11
15:18:13.400000,38.410275,N,-77.09979833333333,W,0.04,57.36,2023-04-11
15:18:13.600000,38.410275,N,-77.09979833333333,W,0.07,63.73,2023-04-11
15:18:13.800000,38.410273333333336,N,-77.09979833333333,W,0.1,73.18,2023-04-11
15:18:14,38.410273333333336,N,-77.09979666666666,W,0.13,64.9,2023-04-11
15:18:14.200000,38.410273333333336,N,-77.09979666666666,W,0.13,61.74,2023-04-11
15:18:14.400000,38.410273333333336,N,-77.09979666666666,W,0.11,89.74,2023-04-11
15:18:14.600000,38.410273333333336,N,-77.09979666666666,W,0.13,117.08,2023-04-11
15:18:14.800000,38.410271666666674,N,-77.099795,W,0.14,140.73,2023-04-11
15:18:15,38.410271666666674,N,-77.099795,W,0.15,152.79,2023-04-11
15:18:15.200000,38.410271666666674,N,-77.099795,W,0.14,153.65,2023-04-11
15:18:15.400000,38.410273333333336,N,-77.099795,W,0.12,145.62,2023-04-11
15:18:15.600000,38.410273333333336,N,-77.09979333333334,W,0.08,139.47,2023-04-11
15:18:15.800000,38.410273333333336,N,-77.09979333333334,W,0.04,159.46,2023-04-11
15:18:16,38.410273333333336,N,-77.09979333333334,W,0.02,139.66,2023-04-11
15:18:16.200000,38.410273333333336,N,-77.09979166666668,W,0.04,132.91,2023-04-11
15:18:16.400000,38.410273333333336,N,-77.09978999999998,W,0.07,145.19,2023-04-11
15:18:16.600000,38.410273333333336,N,-77.09978833333332,W,0.12,129.48,2023-04-11
15:18:16.800000,38.410271666666674,N,-77.09978666666666,W,0.16,137.66,2023-04-11
15:18:17,38.410271666666674,N,-77.09978666666666,W,0.17,134.22,2023-04-11
15:18:17.200000,38.410271666666674,N,-77.099785,W,0.19,121.49,2023-04-11
15:18:17.400000,38.410271666666674,N,-77.09978333333333,W,0.19,117.12,2023-04-11
15:18:17.600000,38.410271666666674,N,-77.09978333333333,W,0.18,118.96,2023-04-11
15:18:17.800000,38.410271666666674,N,-77.09978166666666,W,0.17,113.06,2023-04-11
15:18:18,38.410271666666674,N,-77.09978166666666,W,0.15,101.24,2023-04-11
15:18:18.200000,38.410273333333336,N,-77.09978,W,0.13,95.91,2023-04-11
15:18:18.400000,38.410273333333336,N,-77.09978,W,0.1,101.67,2023-04-11
15:18:18.600000,38.410273333333336,N,-77.09978,W,0.07,147.78,2023-04-11
15:18:18.800000,38.410273333333336,N,-77.09977833333333,W,0.06,167.79,2023-04-11
15:18:19,38.410273333333336,N,-77.09977833333333,W,0.05,155.47,2023-04-11
15:18:19.200000,38.410273333333336,N,-77.09977666666667,W,0.03,162.19,2023-04-11
15:18:19.400000,38.410273333333336,N,-77.09977666666667,W,0.02,90.69,2023-04-11
15:18:19.600000,38.410273333333336,N,-77.09977500000001,W,0.05,115.98,2023-04-11
15:18:19.800000,38.410271666666674,N,-77.09977333333335,W,0.1,124.18,2023-04-11
15:18:20,38.410271666666674,N,-77.09977333333335,W,0.11,128.55,2023-04-11
15:18:20.200000,38.410271666666674,N,-77.09977166666665,W,0.13,128.33,2023-04-11
15:18:20.400000,38.410271666666674,N,-77.09977166666665,W,0.12,131.48,2023-04-11
15:18:20.600000,38.410273333333336,N,-77.09977166666665,W,0.1,128.1,2023-04-11
15:18:20.800000,38.410273333333336,N,-77.09977000000002,W,0.1,127.68,2023-04-11
15:18:21,38.410273333333336,N,-77.09977000000002,W,0.08,115.87,2023-04-11
15:18:21.200000,38.410273333333336,N,-77.09977000000002,W,0.05,111.52,2023-04-11
15:18:21.400000,38.410273333333336,N,-77.09977000000002,W,0.01,145.27,2023-04-11
15:18:21.600000,38.410273333333336,N,-77.09977000000002,W,0.03,96.86,2023-04-11
15:18:21.800000,38.410273333333336,N,-77.09976833333333,W,0.05,117.18,2023-04-11
15:18:22,38.410273333333336,N,-77.09976833333333,W,0.07,141.82,2023-04-11
15:18:22.200000,38.410271666666674,N,-77.09976833333333,W,0.11,160.98,2023-04-11
15:18:22.400000,38.410271666666674,N,-77.09976666666667,W,0.16,165.6,2023-04-11
15:18:22.600000,38.41027,N,-77.09976666666667,W,0.17,167.88,2023-04-11
15:18:22.800000,38.41027,N,-77.099765,W,0.14,174.04,2023-04-11
15:18:23,38.410271666666674,N,-77.099765,W,0.09,176.71,2023-04-11
15:18:23.200000,38.410271666666674,N,-77.099765,W,0.04,201.77,2023-04-11
15:18:23.400000,38.410271666666674,N,-77.099765,W,0.03,328.27,2023-04-11
15:18:23.600000,38.410271666666674,N,-77.09976333333334,W,0.05,39.48,2023-04-11
15:18:23.800000,38.410271666666674,N,-77.09976166666668,W,0.09,57.98,2023-04-11
15:18:24,38.410271666666674,N,-77.09976166666668,W,0.1,51.49,2023-04-11
15:18:24.200000,38.410271666666674,N,-77.09976166666668,W,0.08,45.17,2023-04-11
15:18:24.400000,38.41027,N,-77.09976166666668,W,0.05,41.9,2023-04-11
