time,latitude,lat_dir,longitude,long_dir,speed,course,date
14:10:01,38.411501666666666,N,-77.10198,W,13.55,70.38,2023-04-12
14:10:01.200000,38.411505000000005,N,-77.10196499999999,W,13.29,70.9,2023-04-12
14:10:01.400000,38.41150833333333,N,-77.10195,W,13.35,70.79,2023-04-12
14:10:01.600000,38.41151166666667,N,-77.10193666666669,W,12.99,70.12,2023-04-12
14:10:01.800000,38.411516666666664,N,-77.10192166666667,W,13.0,70.16,2023-04-12
14:10:02,38.41152,N,-77.10190666666666,W,12.99,69.82,2023-04-12
14:10:02.200000,38.411525000000005,N,-77.10189166666667,W,12.63,70.89,2023-04-12
14:10:02.400000,38.41152833333333,N,-77.10187666666667,W,12.8,69.56,2023-04-12
14:10:02.600000,38.41153166666666,N,-77.10186333333333,W,12.8,70.49,2023-04-12
14:10:02.800000,38.411535,N,-77.10184833333334,W,12.84,70.52,2023-04-12
14:10:03,38.41153833333334,N,-77.10183333333333,W,12.84,70.14,2023-04-12
14:10:03.200000,38.411543333333334,N,-77.10181833333331,W,13.06,70.25,2023-04-12
14:10:03.400000,38.41154666666666,N,-77.101805,W,13.12,69.59,2023-04-12
14:10:03.600000,38.41155166666666,N,-77.10179000000001,W,13.19,69.52,2023-04-12
14:10:03.800000,38.41155666666667,N,-77.10177333333334,W,13.25,69.99,2023-04-12
14:10:04,38.411559999999994,N,-77.10175833333332,W,13.63,69.24,2023-04-12
14:10:04.200000,38.41156500000001,N,-77.10174333333332,W,13.62,69.69,2023-04-12
14:10:04.400000,38.411568333333335,N,-77.10172833333333,W,13.69,69.42,2023-04-12
14:10:04.600000,38.41157333333333,N,-77.10171333333332,W,13.87,70.05,2023-04-12
14:10:04.800000,38.41157833333333,N,-77.10169666666667,W,14.07,69.73,2023-04-12
14:10:05,38.41158166666667,N,-77.10168166666666,W,14.12,69.71,2023-04-12
14:10:05.200000,38.411586666666665,N,-77.10166666666667,W,14.31,69.37,2023-04-12
14:10:05.400000,38.411591666666666,N,-77.10165,W,14.38,69.6,2023-04-12
14:10:05.600000,38.41159666666667,N,-77.10163333333334,W,14.6,69.48,2023-04-12
14:10:05.800000,38.4116,N,-77.10161833333332,W,14.65,69.45,2023-04-12
14:10:06,38.411605,N,-77.10160166666665,W,14.72,69.64,2023-04-12
14:10:06.200000,38.41161,N,-77.10158499999999,W,14.74,69.44,2023-04-12
14:10:06.400000,38.411615,N,-77.10156833333333,W,14.8,69.97,2023-04-12
14:10:06.600000,38.41162,N,-77.10155166666667,W,14.86,69.72,2023-04-12
14:10:06.800000,38.411625,N,-77.10153666666668,W,14.89,70.12,2023-04-12
14:10:07,38.41162833333333,N,-77.10152000000001,W,14.92,70.27,2023-04-12
14:10:07.200000,38.411633333333334,N,-77.10150333333333,W,15.08,70.19,2023-04-12
14:10:07.400000,38.411638333333336,N,-77.10148833333332,W,15.05,70.48,2023-04-12
14:10:07.600000,38.41164333333333,N,-77.10147166666667,W,15.02,70.59,2023-04-12
14:10:07.800000,38.41164666666667,N,-77.101455,W,15.04,70.75,2023-04-12
14:10:08,38.41165166666667,N,-77.10143833333333,W,15.07,70.93,2023-04-12
14:10:08.200000,38.411656666666666,N,-77.10142333333334,W,14.87,71.17,2023-04-12
14:10:08.400000,38.41166166666667,N,-77.10140833333334,W,14.82,70.99,2023-04-12
14:10:08.600000,38.411665000000006,N,-77.10139166666666,W,14.77,71.38,2023-04-12
14:10:08.800000,38.41167,N,-77.10137500000002,W,14.72,71.5,2023-04-12
14:10:09,38.411675,N,-77.10136,W,14.47,70.95,2023-04-12
14:10:09.200000,38.41167833333333,N,-77.10134333333333,W,14.43,71.03,2023-04-12
14:10:09.400000,38.41168166666667,N,-77.10132666666667,W,14.38,71.6,2023-04-12
14:10:09.600000,38.41168666666666,N,-77.10131166666667,W,14.14,71.13,2023-04-12
14:10:09.800000,38.41169,N,-77.10129500000001,W,14.07,71.6,2023-04-12
14:10:10,38.41169333333334,N,-77.10127999999999,W,13.75,71.57,2023-04-12
14:10:10.200000,38.411696666666664,N,-77.10126500000001,W,13.33,71.95,2023-04-12
14:10:10.400000,38.411699999999996,N,-77.10125166666666,W,13.25,70.93,2023-04-12
14:10:10.600000,38.411703333333335,N,-77.10123666666668,W,12.82,71.33,2023-04-12
14:10:10.800000,38.411706666666674,N,-77.10122333333332,W,12.53,71.71,2023-04-12
14:10:11,38.41171166666666,N,-77.10121000000001,W,12.15,70.99,2023-04-12
14:10:11.200000,38.41171500000001,N,-77.10119666666665,W,11.94,70.15,2023-04-12
14:10:11.400000,38.41171833333333,N,-77.10118333333334,W,11.65,69.63,2023-04-12
14:10:11.600000,38.41172166666667,N,-77.10117000000001,W,11.35,68.79,2023-04-12
14:10:11.800000,38.41172666666667,N,-77.10115833333333,W,10.97,67.75,2023-04-12
14:10:12,38.41172999999999,N,-77.10114666666666,W,10.66,66.26,2023-04-12
14:10:12.200000,38.41173499999999,N,-77.101135,W,10.38,65.45,2023-04-12
14:10:12.400000,38.41173833333333,N,-77.10112500000001,W,10.17,66.11,2023-04-12
14:10:12.600000,38.411741666666664,N,-77.10111333333332,W,9.58,63.28,2023-04-12
14:10:12.800000,38.41174499999999,N,-77.10110333333334,W,9.38,65.63,2023-04-12
14:10:13,38.41174833333334,N,-77.10109333333332,W,8.95,65.74,2023-04-12
14:10:13.200000,38.41175166666667,N,-77.10108499999998,W,8.59,66.98,2023-04-12
14:10:13.400000,38.411755,N,-77.10107500000001,W,8.37,66.87,2023-04-12
14:10:13.600000,38.41175666666666,N,-77.10106666666668,W,8.12,67.57,2023-04-12
14:10:13.800000,38.41176,N,-77.10105833333334,W,7.95,68.56,2023-04-12
14:10:14,38.41176166666666,N,-77.10105,W,7.89,69.95,2023-04-12
14:10:14.200000,38.41176333333334,N,-77.10104166666667,W,7.82,73.93,2023-04-12
14:10:14.400000,38.411765,N,-77.10103333333333,W,7.39,77.89,2023-04-12
14:10:14.600000,38.41176666666667,N,-77.10102499999999,W,7.36,79.99,2023-04-12
14:10:14.800000,38.41176666666667,N,-77.10101666666667,W,7.12,83.07,2023-04-12
14:10:15,38.41176666666667,N,-77.10100833333333,W,6.75,88.03,2023-04-12
14:10:15.200000,38.411765,N,-77.10100166666665,W,6.47,96.0,2023-04-12
14:10:15.400000,38.411765,N,-77.100995,W,6.18,101.22,2023-04-12
14:10:15.600000,38.411765,N,-77.10099,W,6.47,106.76,2023-04-12
14:10:15.800000,38.41176333333334,N,-77.10098333333335,W,6.3,112.67,2023-04-12
14:10:16,38.41176333333334,N,-77.10097833333333,W,6.23,121.02,2023-04-12
14:10:16.200000,38.41176,N,-77.10097333333334,W,6.22,125.17,2023-04-12
14:10:16.400000,38.41175666666666,N,-77.10096833333333,W,6.22,131.16,2023-04-12
14:10:16.600000,38.41175333333333,N,-77.10096166666668,W,6.2,134.87,2023-04-12
14:10:16.800000,38.41174833333334,N,-77.10095833333334,W,6.2,141.53,2023-04-12
14:10:17,38.41174499999999,N,-77.10095500000001,W,6.18,147.27,2023-04-12
14:10:17.200000,38.411741666666664,N,-77.10095166666666,W,5.82,150.41,2023-04-12
14:10:17.400000,38.41173666666667,N,-77.10095,W,5.77,153.43,2023-04-12
14:10:17.600000,38.41173166666667,N,-77.10094666666667,W,5.54,157.91,2023-04-12
14:10:17.800000,38.41172833333333,N,-77.10094500000001,W,5.49,163.46,2023-04-12
14:10:18,38.411723333333335,N,-77.10094500000001,W,5.7,170.48,2023-04-12
14:10:18.200000,38.41171833333333,N,-77.10094500000001,W,5.64,174.23,2023-04-12
14:10:18.400000,38.41171333333333,N,-77.10094333333332,W,5.49,180.04,2023-04-12
14:10:18.600000,38.41171,N,-77.10094333333332,W,5.23,178.36,2023-04-12
14:10:18.800000,38.411705,N,-77.10094500000001,W,4.96,182.67,2023-04-12
14:10:19,38.41170166666666,N,-77.10094666666667,W,4.93,181.62,2023-04-12
14:10:19.200000,38.411696666666664,N,-77.10094666666667,W,4.87,182.07,2023-04-12
14:10:19.400000,38.41169333333334,N,-77.10094666666667,W,4.56,184.6,2023-04-12
14:10:19.600000,38.41169,N,-77.10094833333333,W,4.01,186.35,2023-04-12
14:10:19.800000,38.41168666666666,N,-77.10094833333333,W,3.85,185.18,2023-04-12
14:10:20,38.411683333333336,N,-77.10094833333333,W,3.34,186.62,2023-04-12
14:10:20.200000,38.41168166666667,N,-77.10094833333333,W,2.97,183.29,2023-04-12
14:10:20.400000,38.411680000000004,N,-77.10094833333333,W,2.36,183.29,2023-04-12
14:10:20.600000,38.41167833333333,N,-77.10095,W,1.88,183.29,2023-04-12
14:10:20.800000,38.41167833333333,N,-77.10094666666667,W,1.22,183.29,2023-04-12
14:10:21,38.411680000000004,N,-77.10094666666667,W,0.75,183.29,2023-04-12
14:10:21.200000,38.41168166666667,N,-77.10094666666667,W,0.41,183.29,2023-04-12
14:10:21.400000,38.41168166666667,N,-77.10094666666667,W,0.18,183.29,2023-04-12
14:10:21.600000,38.411683333333336,N,-77.10094666666667,W,0.15,183.29,2023-04-12
14:10:21.800000,38.411683333333336,N,-77.10094666666667,W,0.13,183.29,2023-04-12
14:10:22,38.411685,N,-77.10094666666667,W,0.14,183.29,2023-04-12
14:10:22.200000,38.41168666666666,N,-77.10094666666667,W,0.31,0.31,2023-04-12
14:10:22.400000,38.41168833333334,N,-77.10094666666667,W,0.38,1.14,2023-04-12
14:10:22.600000,38.41168833333334,N,-77.10094666666667,W,0.6,348.68,2023-04-12
14:10:22.800000,38.41169,N,-77.10094833333333,W,1.01,350.98,2023-04-12
14:10:23,38.41169166666668,N,-77.10094833333333,W,1.18,347.31,2023-04-12
14:10:23.200000,38.41169333333334,N,-77.10095,W,1.6,347.31,2023-04-12
14:10:23.400000,38.411695,N,-77.10095,W,1.61,347.31,2023-04-12
14:10:23.600000,38.411696666666664,N,-77.10095166666666,W,2.21,347.31,2023-04-12
14:10:23.800000,38.411699999999996,N,-77.10095333333335,W,2.48,347.31,2023-04-12
14:10:24,38.41170166666666,N,-77.10095500000001,W,2.78,347.31,2023-04-12
14:10:24.200000,38.411705,N,-77.10095500000001,W,3.0,345.51,2023-04-12
14:10:24.400000,38.411706666666674,N,-77.10095500000001,W,3.03,348.3,2023-04-12
14:10:24.600000,38.41171,N,-77.10095666666668,W,3.26,346.34,2023-04-12
14:10:24.800000,38.41171166666666,N,-77.10095666666668,W,3.47,348.51,2023-04-12
14:10:25,38.41171500000001,N,-77.10095666666668,W,3.76,347.91,2023-04-12
14:10:25.200000,38.41171833333333,N,-77.10095833333334,W,3.78,348.65,2023-04-12
14:10:25.400000,38.41172166666667,N,-77.10095833333334,W,3.77,351.17,2023-04-12
14:10:25.600000,38.411725000000004,N,-77.10095833333334,W,3.74,350.06,2023-04-12
14:10:25.800000,38.41172666666667,N,-77.10095833333334,W,3.8,352.36,2023-04-12
14:10:26,38.41172999999999,N,-77.10096,W,3.85,354.9,2023-04-12
14:10:26.200000,38.41173333333333,N,-77.10096,W,3.86,355.05,2023-04-12
14:10:26.400000,38.41173666666667,N,-77.10096,W,3.86,358.13,2023-04-12
14:10:26.600000,38.41174,N,-77.10096,W,3.7,358.54,2023-04-12
14:10:26.800000,38.41174333333333,N,-77.10096166666668,W,3.66,0.73,2023-04-12
14:10:27,38.411746666666666,N,-77.100965,W,3.72,2.15,2023-04-12
14:10:27.200000,38.411750000000005,N,-77.10096666666666,W,3.78,5.37,2023-04-12
14:10:27.400000,38.41175333333333,N,-77.10096833333333,W,4.01,1.78,2023-04-12
14:10:27.600000,38.41175666666666,N,-77.10096833333333,W,4.07,4.36,2023-04-12
14:10:27.800000,38.41176166666666,N,-77.10097000000002,W,3.92,6.47,2023-04-12
14:10:28,38.411765,N,-77.10097000000002,W,3.93,10.09,2023-04-12
14:10:28.200000,38.411768333333335,N,-77.10097000000002,W,3.75,7.8,2023-04-12
14:10:28.400000,38.41177166666666,N,-77.10096833333333,W,3.8,6.28,2023-04-12
14:10:28.600000,38.411775,N,-77.10096833333333,W,3.8,2.34,2023-04-12
14:10:28.800000,38.41177833333334,N,-77.10096833333333,W,3.55,3.38,2023-04-12
14:10:29,38.41178,N,-77.10096666666666,W,3.09,6.14,2023-04-12
