location,date,run,make,model,year,type,target-name,target-id,speed-kph,speed-throttle,direction,start-time-utc,mads-cpa-utc,stop-time-utc,gps-log-file,comments,nsin-release,east-start-turnaround-lat,east-start-turnaround-lon,west-start-turnaround-lat,west-start-turnaround-lon,north-start-turnaround-lat,north-start-turnaround-lon,south-start-turnaround-lat,south-start-turnaround-lon
eglin,3/16/2023,1,Toyota,Tacoma,2006,SR5,2006 Toyota Tacoma SR5,1A,25,,N-S,13:32:07,13:35:47,13:37:45,target_1a.csv,Convoy Veh 1,2 - Developers Data Set,,,,,30.632192,-86.28929197,30.61378664,-86.28145108
eglin,3/16/2023,1,Chevrolet,S-10,1995,,1995 Chevrolet S-10,1B,25,,N-S,13:46:28,13:50:26,13:52:23,target_1b.csv,Convoy Veh 2,2 - Developers Data Set,,,,,30.63220097,-86.2892789,30.61340856,-86.2812553
cochise,4/10/2023,1,Toyota,4Runner,,,Toyota 4Runner,3A,20,,W-E,20:29,,20:31,L16_2023-04-10.csv,,2 - Developers Data Set,31.6209963,-110.2380378,31.616278,-110.2435199,,,,
cochise,4/10/2023,2,Toyota,4Runner,,,Toyota 4Runner,3A,20,,E-W,20:33,,20:35,L16_2023-04-10.csv,,2 - Developers Data Set,31.6209963,-110.2380378,31.616278,-110.2435199,,,,
cochise,4/10/2023,3,Toyota,4Runner,,,Toyota 4Runner,3A,20,,W-E,20:38,,20:40,L16_2023-04-10.csv,,2 - Developers Data Set,31.6209963,-110.2380378,31.616278,-110.2435199,,,,
cochise,4/10/2023,4,Toyota,4Runner,,,Toyota 4Runner,3A,20,,E-W,20:41,,20:43,L16_2023-04-10.csv,,2 - Developers Data Set,31.6209963,-110.2380378,31.616278,-110.2435199,,,,
cochise,4/10/2023,5,Toyota,4Runner,,,Toyota 4Runner,3A,20,,W-E,20:44,,20:46,L16_2023-04-10.csv,,2 - Developers Data Set,31.6209963,-110.2380378,31.616278,-110.2435199,,,,
cochise,4/10/2023,6,Toyota,4Runner,,,Toyota 4Runner,3A,20,,E-W,21:04,,21:06,L16_2023-04-10.csv,,2 - Developers Data Set,31.6209963,-110.2380378,31.616278,-110.2435199,,,,
cochise,4/11/2023,1,Toyota,4Runner,,,Toyota 4Runner,3A,30,,E-W,16:56,,16:57,L16_2023-04-11.csv,120 Not Powered on,2 - Developers Data Set,31.6209963,-110.2380378,31.616278,-110.2435199,,,,
cochise,4/11/2023,2,Toyota,4Runner,,,Toyota 4Runner,3A,30,,W-E,16:59,,17:00,L16_2023-04-11.csv,120 Not Powered on,2 - Developers Data Set,31.6209963,-110.2380378,31.616278,-110.2435199,,,,
cochise,4/11/2023,3,Toyota,4Runner,,,Toyota 4Runner,3A,30,,E-W,17:03,,17:04,L16_2023-04-11.csv,120 Not Powered on,2 - Developers Data Set,31.6209963,-110.2380378,31.616278,-110.2435199,,,,
cochise,4/11/2023,4,Toyota,4Runner,,,Toyota 4Runner,3A,30,,W-E,17:06,,17:07,L16_2023-04-11.csv,120 Not Powered on,2 - Developers Data Set,31.6209963,-110.2380378,31.616278,-110.2435199,,,,
cochise,4/11/2023,13,Toyota,4Runner,,,Toyota 4Runner,3A,40,,W-E,17:44,,17:45,L16_2023-04-11.csv,120 Not Powered on,2 - Developers Data Set,31.6209963,-110.2380378,31.616278,-110.2435199,,,,
cochise,4/11/2023,14,Toyota,4Runner,,,Toyota 4Runner,3A,40,,E-W,17:46,,17:47,L16_2023-04-11.csv,120 Not Powered on,2 - Developers Data Set,31.6209963,-110.2380378,31.616278,-110.2435199,,,,
cochise,4/11/2023,25,Toyota,4Runner,,,Toyota 4Runner,3A,50,,W-E,18:16,,18:17,L16_2023-04-11.csv,120 Not Powered on,2 - Developers Data Set,31.6209963,-110.2380378,31.616278,-110.2435199,,,,
cochise,4/11/2023,26,Toyota,4Runner,,,Toyota 4Runner,3A,50,,E-W,18:18,,18:19,L16_2023-04-11.csv,120 Not Powered on,2 - Developers Data Set,31.6209963,-110.2380378,31.616278,-110.2435199,,,,
bprf,4/10/2023,21,Ford,F-450,,,YYYY Ford F-450 (No Sides),2D,30,,E-W,15:35:17,,15:35:31,L12_2023-04-10.csv,,2 - Developers Data Set,38.411778,-77.100977,38.410313,-77.106413,,,,
